workerId,names,genres
933937287531,Candice Wong,Exterior maintenances|Plumbing|Plumbing|Electrical systems|Seasonal maintenance
933937293736,Dr. Kathleen Smith DDS,Exterior maintenances|Plumbing|Seasonal maintenance
933937296059,Eric Krueger,Electrical systems|Cleaning
933937302298,Lisa Smith,Electrical systems|Cleaning|Cleaning
933937307316,Krystal Graham,Electrical systems
933937311533,David Watkins,Deep Cleaning|HVAC|Exterior maintenances
933937313757,Joseph Mcgrath,Electrical systems|Cleaning
933938366278,Lisa Blackwell,Exterior maintenances|Plumbing
933938371662,Kimberly Davis,Deep Cleaning
933938375905,Ian Stevens,Deep Cleaning|Exterior maintenances|Exterior maintenances
933938380757,Michael Moore,Electrical systems|Cleaning|Cleaning
933938383032,Wesley Lee,Electrical systems|HVAC
933938386452,Grant Macias,Exterior maintenances|Plumbing|Plumbing
933938389688,Brandon Lyons,Cleaning
933938396070,Suzanne Jones,Deep Cleaning|Exterior maintenances|Cleaning
933938400216,Melissa Arnold,HVAC|Cleaning
933938404083,Steven Ward,Cleaning|Cleaning
933938408702,Charles Cardenas,Electrical systems
933938411461,Jeffrey Andrews,Electrical systems
933938416623,Joseph Myers,Deep Cleaning|Electrical systems|HVAC|Cleaning|Exterior maintenances
933938418723,Carolyn Logan,Electrical systems|HVAC|Exterior maintenances
933938424256,Jill Davis,HVAC|Cleaning|HVAC|Exterior maintenances|Exterior maintenances
933938427800,Mr. Daniel Cole,Deep Cleaning|HVAC|Exterior maintenances
933938430428,Heather Pope,Cleaning|Seasonal maintenance
933938437111,Abigail Calhoun,Cleaning|Cleaning
933938441032,Wesley Costa,Cleaning
933938444131,Vicki Rose,Plumbing|Cleaning
933938446430,Paul Rodgers,Cleaning|Cleaning
933938451147,Cindy Long,Exterior maintenances|Cleaning|Seasonal maintenance|Exterior maintenances|Seasonal maintenance
933938457963,Brandon Sullivan,HVAC|Cleaning
933938458935,Linda Garcia,Cleaning
